Value,Category
1,Children
2,Children
3,Children
4,Children
5,Children
6,Children
7,Children
8,Children
9,Children
10,Children
11,Children
12,Children
13,Children
14,Children
15,Children
16,Children
17,Children
18,Adult
19,Adult
20,Adult
21,Adult
22,Adult
23,Adult
24,Adult
25,Adult
26,Adult
27,Adult
28,Adult
29,Adult
30,Adult
31,Adult
32,Adult
33,Adult
34,Adult
35,Adult
36,Adult
37,Adult
38,Adult
39,Adult
40,Adult
41,Adult
42,Adult
43,Adult
44,Adult
45,Adult
46,Adult
47,Adult
48,Adult
49,Adult
50,Adult
51,Adult
52,Adult
53,Adult
54,Adult
55,Adult
56,Adult
57,Adult
58,Adult
59,Adult
60,Adult
61,Adult
62,Adult
63,Adult
64,Adult
65,Adult
66,Adult
67,Adult
68,Adult
69,Adult
70,Adult
71,Adult
72,Adult
73,Adult
74,Adult
75,Adult
76,Adult
77,Adult
78,Adult
79,Adult
80,Adult
81,Adult
82,Adult
83,Adult
84,Adult
85,Adult
86,Adult
87,Adult
88,Adult
89,Adult
90,Adult
91,Adult
92,Adult
93,Adult
94,Adult
95,Adult
96,Adult
97,Adult
98,Adult
99,Adult
100,Adult
