Value,Category
1,Lady
2,Lady
3,Lady
4,Lady
5,Lady
6,Lady
7,Lady
8,Lady
9,Lady
10,Lady
11,Lady
12,Lady
13,Lady
14,Lady
15,Lady
16,Lady
17,Lady
18,Lady
19,Lady
20,Lady
21,Lady
22,Lady
23,Lady
24,Lady
25,Lady
26,Lady
27,Lady
28,Lady
29,Lady
30,Miss
31,Miss
32,Miss
33,Miss
34,Miss
35,Miss
36,Miss
37,Miss
38,Miss
39,Miss
40,Miss
41,Miss
42,Miss
43,Miss
44,Miss
45,Miss
46,Miss
47,Miss
48,Miss
49,Miss
50,Miss
51,Miss
52,Miss
53,Miss
54,Miss
55,Miss
56,Miss
57,Miss
58,Miss
59,Miss
60,Miss
61,Miss
62,Miss
63,Miss
64,Miss
65,Miss
66,Miss
67,Miss
68,Miss
69,Miss
70,Miss
71,Miss
72,Miss
73,Miss
74,Miss
75,Miss
76,Miss
77,Miss
78,Miss
79,Miss
80,Miss
81,Miss
82,Miss
83,Miss
84,Miss
85,Miss
86,Miss
87,Miss
88,Miss
89,Miss
90,Miss
91,Miss
92,Miss
93,Miss
94,Miss
95,Miss
96,Miss
97,Miss
98,Miss
99,Miss
100,Miss
