Value,Category
#652a47 has 525 warming points,Calm
#c0ff44 has 1056 warming points,Danger
#b282b2 has 925 warming points,Danger
#3327de has 265 warming points,Calm
#52dece has 114 warming points,Calm
#31a7a0 has 66 warming points,Calm
#a87eed has 873 warming points,Danger
#4cbbb2 has 106 warming points,Calm
#9a2472 has 800 warming points,Danger
#c39ec1 has 1014 warming points,Danger
#c370f5 has 1014 warming points,Danger
#a69ac9 has 863 warming points,Danger
#b37854 has 984 warming points,Danger
#9344d2 has 764 warming points,Danger
#82ddc6 has 182 warming points,Calm
#8ac68b has 192 warming points,Calm
#9c8b64 has 858 warming points,Danger
#844741 has 726 warming points,Danger
#f6d12c has 1353 warming points,Danger
#e267e0 has 1175 warming points,Danger
#35135e has 275 warming points,Calm
#36cc18 has 297 warming points,Calm
#612624 has 533 warming points,Calm
#3552e0 has 72 warming points,Calm
#ca1d1e has 1050 warming points,Danger
#e0ff44 has 1232 warming points,Danger
#b275c7 has 925 warming points,Danger
#f176c9 has 1253 warming points,Danger
#2d3393 has 62 warming points,Calm
#c84484 has 1040 warming points,Danger
#46ac72 has 98 warming points,Calm
#15bbff has 28 warming points,Calm
#d732e6 has 1118 warming points,Danger
#cfea52 has 1138 warming points,Danger
#aaebfb has 238 warming points,Calm
#b2bb63 has 979 warming points,Danger
#c885ed has 1040 warming points,Danger
#5b786b has 126 warming points,Calm
#919292 has 202 warming points,Calm
#496bb4 has 100 warming points,Calm
#4d8fd8 has 106 warming points,Calm
#ae9ef9 has 904 warming points,Danger
#e239bd has 1175 warming points,Danger
#485e8a has 100 warming points,Calm
#735d48 has 632 warming points,Calm
#68dd23 has 572 warming points,Calm
#a2f0f4 has 226 warming points,Calm
#3eec7f has 86 warming points,Calm
#cefef9 has 288 warming points,Calm
#9e1499 has 821 warming points,Danger
#61d6e1 has 134 warming points,Calm
#3f8484 has 86 warming points,Calm
#2d7420 has 247 warming points,Calm
#db5847 has 1204 warming points,Danger
#afca43 has 962 warming points,Danger
#aa298e has 884 warming points,Danger
#cccd96 has 1122 warming points,Danger
#9692fa has 780 warming points,Danger
#51e3df has 112 warming points,Calm
#603844 has 499 warming points,Calm
